county_name,fdr_result
Modoc,7.8
Modoc,8.5
Modoc,6.2
Modoc,6.2
Modoc,7.9
Modoc,8.8
Modoc,7.6
Modoc,6.9
Modoc,6.5
Modoc,5.9
Modoc,5.8
Modoc,6.2
Modoc,6.5
Modoc,6.2
Modoc,5.8
Modoc,8.3
Modoc,7.8
Modoc,6.8
Modoc,6.2
Modoc,6.1
Modoc,6.3
Modoc,6.1
Modoc,6.3
Modoc,7.5
Modoc,7.2
Modoc,6.8
Modoc,6
Modoc,5.6
Modoc,5.4
Modoc,5.7
Modoc,5.5
Modoc,5.8
Modoc,5.8
Modoc,5.9
Modoc,5.5
Modoc,8.9
Modoc,9.4
Modoc,9.2
Modoc,9
Modoc,8.7
Modoc,8.6
Modoc,8.7
Modoc,7.7
Modoc,8.1
Modoc,5
Modoc,8.8
Modoc,12.4
Modoc,6.6
Modoc,9.9
Modoc,12.6
Modoc,6.1
Modoc,10.2
Modoc,8.3
Modoc,6.5
Modoc,6.7
Modoc,11.4
Modoc,10.4
Modoc,11.8
Modoc,12.1
Modoc,7.8
Modoc,10.1
Modoc,12.7
Modoc,10.9
Modoc,9.4
Modoc,12.8
Modoc,5.4
Modoc,11.4
Modoc,10.7
Modoc,8.2
Modoc,11.6
Modoc,3
Modoc,13.5
Modoc,12.1
Modoc,6.3
Modoc,13
Modoc,9.8
Modoc,10.5
Modoc,10.3
Modoc,13.5
Modoc,12.2
Modoc,6.9
Modoc,4.2
Modoc,8.38
Modoc,9.93
Modoc,8.51
Modoc,8.06
Modoc,9.81
Modoc,8.94
Modoc,8.18
Modoc,6.96
Modoc,11.8
Modoc,9.57
Modoc,8.5
Modoc,9.3
Modoc,9
Modoc,7.4
Modoc,4.7
Modoc,6.5
Modoc,7.84
Modoc,6.2
Modoc,4.2
Modoc,8.3
Modoc,10.3
Modoc,9.7
Modoc,4.9
Modoc,7.4
Modoc,8.9
Modoc,5.3
Modoc,1.5
Modoc,6.1
Modoc,11.7
Modoc,5.1
Modoc,2.9
Modoc,9.1
Modoc,11.8
Modoc,7.6
Modoc,6.2
Modoc,8.6
Modoc,6.7
Modoc,4.4
Modoc,4.1
Modoc,5.2
Modoc,8.2
Modoc,7.9
Modoc,9.8
Modoc,9.6
Modoc,9.4
Modoc,7
Modoc,4.5
Modoc,2.35
Modoc,1.3
Modoc,6.4
Modoc,8.7
Modoc,9.1
Modoc,5.7
Modoc,6.1
Modoc,2.5
Modoc,4.5
Modoc,7.6
Modoc,7.9
Modoc,10.5
Modoc,5.5
Modoc,3.9
Modoc,8.7
Modoc,7.1
Modoc,9.1
Modoc,8.8
Modoc,8.9
Modoc,8.2
Modoc,9.4
Modoc,10.1
Modoc,8.2
Modoc,8
Modoc,8.8
Modoc,11
Modoc,12.2
Modoc,9.4
Modoc,11
Modoc,8.9
Modoc,8.5
Modoc,7.3
Modoc,7.8
Modoc,7.8
Modoc,9.6
Modoc,10.5
Modoc,12
Modoc,12
Modoc,11.7
Modoc,11.3
Modoc,8.6
Modoc,8.3
Modoc,7.9
Modoc,8
Modoc,7.8
Modoc,8.1
Modoc,9.8
Modoc,10.9
Modoc,11.8
Modoc,10.1
Modoc,10.9
Modoc,10.5
Modoc,11.3
Modoc,10.4
Modoc,7.4
Modoc,7.8
Modoc,7.8
Modoc,7.9
Modoc,9.4
Modoc,11.6
Modoc,11.7
Modoc,12.4
Modoc,10.7
Modoc,12
Modoc,8.6
Modoc,8.4
Modoc,8.7
Modoc,8.8
Modoc,6.8
Modoc,8.5
Modoc,11.5
Modoc,11.6
Modoc,11.1
Modoc,12.7
Modoc,10.6
Modoc,9.9
Modoc,10.6
Modoc,9.5
Modoc,9.6
Modoc,9.3
Modoc,8.2
Modoc,8.8
Modoc,10.3
Modoc,10.9
Modoc,12
Modoc,11.2
Modoc,12.4
Modoc,12
Modoc,12.3
Modoc,11.9
Modoc,9.8
Modoc,8.3
Modoc,8.1
Modoc,8.9
Modoc,9
Modoc,10.9
Modoc,10.2
Modoc,11
Modoc,9.7
Modoc,10.2
Modoc,8.3
Modoc,9.4
Modoc,7.8
Modoc,8.9
Modoc,8.5
Modoc,9.6
Modoc,9.9
Modoc,10.9
Modoc,12.9
Modoc,12.7
Modoc,12.5
Modoc,11.6
Modoc,11
Modoc,8.6
Modoc,9.2
Modoc,8.6
Modoc,8.4
Modoc,8
Modoc,8.4
Modoc,10.7
Modoc,11.8
Modoc,12
Modoc,12.1
Modoc,10.8
Modoc,10.4
Modoc,10.2
Modoc,9.2
